Cliente,Sexo,Edad,Empresa,Salario,Saldo_cuenta,Saldo_ahorros,Saldo_inversion,Deudor_tarjeta,Deudas,Distrito
12529,M,38,Privada,"4246,9","718,82",0,0,299,0,CAPELA DO SOCORRO
12809,M,33,Privada,5570,"727,18",0,0,"4057,44",0,CAMPO LIMPO
12904,M,34,Privada,"6472,4","-96,63",0,0,"1248,8",1,VILA PRUDENTE
13148,M,34,Privada,5712,"974,33",0,0,"3262,28",0,ITAIM PAULISTA
13319,M,32,Privada,3990,"858,99",0,0,3265,0,ITAQUERA
13720,F,32,Pública,"5535,2","376,46",0,0,"2865,71",1,LAPA
13930,M,35,Autônomo,"4171,7","200,81",0,0,"31,007,535",1,M'BOI MIRIM
14000,M,35,Privada,5786,"978,25",0,0,"2886,92",0,ITAIM PAULISTA
14117,F,34,Autônomo,"6654,2","617,77",0,0,"1538,66",1,SE
14296,M,31,Privada,5520,"1115,94",0,0,246,0,PIRITUBA-JARAGUA
14476,M,32,Pública,6700,"655,03",0,0,"2132,36",0,CASA VERDE-CACHOEIRINHA
15059,F,31,Privada,5537,"1067,72",0,0,"1935,44",0,FREGUESIA-BRASILANDIA
15065,M,34,Privada,"4166,4","-315,17",0,0,"4722,41",1,CAPELA DO SOCORRO
15551,M,29,Autônomo,7168,"552,68",0,0,"1263,13",0,SE
16068,F,35,Pública,"7618,8","910,73",0,0,"1598,05",0,SE
16644,M,37,Privada,6176,"1377,17",0,0,"110,93",0,ARICANDUVA-FORMOSA-CARRAO
16779,F,29,Autônomo,5042,"661,36",0,0,"691,07",0,PERUS
16831,M,31,Pública,"7754,6","1075,51",0,0,0,0,VILA MARIANA
17022,M,31,Privada,"4412,8","833,48",0,0,"997,72",0,GUAIANASES
17305,F,28,Privada,"3680,6","717,37",0,0,826,0,ITAQUERA
17426,M,34,Privada,"3919,3","1172,98",0,0,"3704,34",0,ITAQUERA
17677,F,32,Privada,"6792,5","1157,72",0,0,"2211,4",0,CASA VERDE-CACHOEIRINHA
17815,F,28,Autônomo,4830,"-212,76",0,0,"2366,59",1,ERMELINO MATARAZZO
17831,F,27,Pública,"3593,1","991,32",0,0,326,0,PARELHEIROS
17977,F,30,Autônomo,5142,"737,77",0,0,"2671,32",0,PIRITUBA-JARAGUA
18134,F,29,Pública,"6770,4","98,24",0,0,"1780,02",1,IPIRANGA
18265,F,29,Pública,"3534,3","409,46",0,0,0,0,SAO MATEUS
18507,F,28,Autônomo,6909,"1114,7",0,0,"1490,24",0,SE
18551,F,31,Privada,"6640,4","764,73",0,0,"1999,51",0,IPIRANGA
18781,F,29,Privada,5126,"514,67",0,0,1285,0,PIRITUBA-JARAGUA
18817,F,30,Pública,5049,"930,12",0,0,"3481,31",1,ITAIM PAULISTA
18828,M,35,Privada,"3985,1","993,42",0,0,"3882,27",1,ITAQUERA
19225,F,24,Autônomo,"3763,2","426,98",0,0,"1858,77",0,JACANA-TREMEMBE
19630,M,34,Privada,"6392,1","67,49",0,0,"1214,05",1,VILA PRUDENTE
19631,M,39,Privada,"4951,2","810,5",0,0,"528,6",0,CIDADE ADEMAR
19792,M,33,Privada,5692,"566,97",0,0,"3376,6",0,SAPOPEMBA
19833,F,28,Pública,5159,"62,4",0,0,"2244,68",0,PENHA
20138,M,30,Privada,5538,"684,74",0,0,"3060,51",0,ITAIM PAULISTA
20140,M,32,Privada,"6087,4","-497,68",0,0,"1241,81",1,VILA PRUDENTE
20376,F,34,Privada,5615,"-51,69","17318,69","8059,91",0,0,SANTANA-TUCURUVI
20500,M,32,Privada,"6091,8","1051,77","16618,43","6501,51",0,0,LAPA
20508,F,30,Pública,"3894,8","708,06",0,0,"3294,43",1,PARELHEIROS
20702,M,47,Privada,8915,"1838,56",0,0,"3957,62",0,SAPOPEMBA
20755,M,33,Privada,"3899,7","807,08",0,0,3265,0,SAO MIGUEL
21115,M,31,Privada,"3660,15","646,01",0,0,"33,390,955",0,M'BOI MIRIM
21201,M,37,Privada,"8362,2","1018,41","18146,69","14805,65",0,0,VILA MARIANA
21373,M,34,Privada,"6316,2","-98,68","17092,67","14784,74",0,0,SANTO AMARO
21466,F,31,Privada,5607,"1006,92",0,0,"1976,27",1,PENHA
21560,M,30,Pública,"5891,6","805,39","15514,61","11423,13",0,0,SANTO AMARO
21804,M,34,Privada,"13268,25","805,61","17499,06","11340,34",0,0,PINHEIROS
22064,M,33,Privada,"3999,8","-85,89",0,0,1266,0,SAO MATEUS
22081,F,33,Pública,5616,"661,59",0,0,"2952,45",0,CAMPO LIMPO
22131,F,34,Privada,"4751,2","1068,47",0,0,"4323,14",1,CIDADE ADEMAR
22166,M,34,Autônomo,7025,"744,8","17175,54","10559,79",0,0,MOOCA
22233,M,37,Privada,"7876,7","1224,06",0,0,"1728,13",0,IPIRANGA
22408,M,32,Pública,"8121,4","1054,04",0,0,"3424,1",1,VILA MARIANA
22415,F,31,Pública,"3677,8","-50,55",0,0,"3483,32",1,CAPELA DO SOCORRO
22430,M,33,Autônomo,3705,"983,2",0,0,"3,652,961",1,M'BOI MIRIM
22779,M,37,Privada,"7984,6",1321,0,0,464,0,IPIRANGA
23128,M,32,Privada,5534,"1154,64",0,0,"4553,96",0,SAPOPEMBA
23293,M,35,Privada,"3853,2","1108,44",0,0,1266,0,M'BOI MIRIM
23419,M,35,Privada,3899,"719,54",0,0,1189,0,SAO MIGUEL
23870,M,30,Pública,9646,"504,74",0,0,"2229,17",0,BUTANTA
23895,M,31,Pública,"4269,6","793,24",0,0,0,0,CIDADE TIRADENTES
24490,M,33,Pública,5521,"668,93",0,0,"2918,82",0,PIRITUBA-JARAGUA
24805,M,29,Pública,"3672,9","843,25",0,0,0,0,SAO MATEUS
24864,F,26,Autônomo,"3121,3","-421,73",0,0,"4098,35",1,ITAQUERA
24880,M,33,Privada,"3736,85",838,0,0,615,0,M'BOI MIRIM
24914,M,32,Privada,5758,"713,12",0,0,9,0,PENHA
24960,M,38,Privada,6462,"1040,15",0,0,3587,1,ITAIM PAULISTA
24973,M,37,Privada,"7467,5","755,26",0,0,"2484,52",1,CASA VERDE-CACHOEIRINHA
25040,F,27,Privada,"5871,6","403,98",0,0,375,0,BUTANTA
25380,F,25,Autônomo,"3124,8","710,19",0,0,0,0,PARELHEIROS
26915,M,30,Privada,"3930,5","1174,55",0,0,2274,1,PARELHEIROS
27405,F,44,Autônomo,"5324,2","1788,25",0,0,"3444,63",1,SAO MIGUEL
27736,M,29,Autônomo,5246,"770,56",0,0,"584,8",1,PERUS
27795,F,37,Privada,"4423,3","1259,68",0,0,"869,81",0,ITAQUERA
27956,F,37,Privada,5188,"781,84",0,0,"2613,17",1,PENHA
28382,F,31,Privada,"3845,1","612,35",0,0,"3758,3",1,SAO MIGUEL
28554,F,29,Autônomo,3507,"683,14",0,0,1264,0,ITAQUERA
28855,M,33,Privada,4081,"1466,24",0,0,1385,0,SAO MATEUS
28975,M,36,Privada,6120,"707,13",0,0,0,0,PIRITUBA-JARAGUA
29009,M,31,Privada,5706,"839,31",0,0,"823,6",0,ITAIM PAULISTA
29431,M,32,Autônomo,5630,"761,37",0,0,0,0,PIRITUBA-JARAGUA
30083,M,33,Privada,"4032,7","922,2",0,0,0,0,SAO MATEUS
30102,F,27,Autônomo,"3201,1","458,19",0,0,0,0,SAO MIGUEL
30281,M,34,Autônomo,9546,"1303,47",0,0,285,0,BUTANTA
30305,M,33,Privada,5681,"15,58",0,0,1377,0,CAMPO LIMPO
30761,M,33,Privada,5694,909,0,0,"1833,45",0,FREGUESIA-BRASILANDIA
30841,M,28,Pública,5400,"837,21",0,0,1165,0,CAMPO LIMPO
30954,M,35,Privada,5976,"637,57",0,0,4575,1,CAMPO LIMPO
31744,M,34,Pública,6980,"892,44","17357,12","7758,28",0,0,MOOCA
31825,M,34,Pública,5345,"729,12",0,0,"3670,6",1,CAMPO LIMPO
31837,M,28,Privada,5502,"673,18",0,0,"2281,26",0,VILA MARIA-VILA GUILHERME
32080,M,32,Privada,"7705,6","1273,42","16061,47","14277,21",1237,0,VILA MARIANA
32119,M,32,Autônomo,5508,"847,24",0,0,0,0,PIRITUBA-JARAGUA
32248,M,34,Privada,5532,"1011,77",0,0,"3554,93",0,CAMPO LIMPO
32284,M,34,Privada,6117,"1064,53",0,0,"1014,07",1,SANTANA-TUCURUVI
32366,M,31,Privada,5548,"1056,31",0,0,"2590,65",0,PENHA
32398,M,33,Privada,"4072,6","1058,36",0,0,"589,17",0,CAPELA DO SOCORRO
32518,M,32,Pública,5438,"859,39",0,0,674,0,SAPOPEMBA
32928,F,30,Privada,4978,"761,97",0,0,"2496,64",0,FREGUESIA-BRASILANDIA
32954,M,32,Privada,"7087,5","378,31",0,0,374,0,CASA VERDE-CACHOEIRINHA
32961,F,29,Pública,"6457,5","431,6",0,0,"3738,53",0,CASA VERDE-CACHOEIRINHA
33096,M,31,Autônomo,3745,"851,01",0,0,3564,1,ITAQUERA
33113,M,33,Privada,"6773,8","1508,37",0,0,"179,72",0,LAPA
33227,M,38,Privada,6467,"993,18",0,0,"2038,32",1,PENHA
33307,M,37,Privada,6240,"1226,4",0,0,0,0,VILA MARIA-VILA GUILHERME
33752,M,34,Pública,"4201,4","1171,68",0,0,"553,42",0,SAO MIGUEL
33816,F,27,Autônomo,"3274,6","-12,06",0,0,3275,1,SAO MATEUS
33836,F,32,Privada,5065,"661,52",0,0,"4130,09",0,CAMPO LIMPO
34453,M,31,Pública,"5826,7","1207,69",0,0,"2089,53",0,JABAQUARA
34470,M,26,Privada,"3645,85","678,53",0,0,"2,540,616",1,M'BOI MIRIM
35118,F,35,Privada,"5955,4","558,47","16097,56","10776,13",0,0,SANTO AMARO
35220,M,36,Privada,"13963,5","992,13","17549,66","15142,72",0,0,PINHEIROS
35562,M,31,Privada,5663,"797,52",0,0,"3210,53",1,PIRITUBA-JARAGUA
35771,M,33,Privada,"3880,1","465,8",0,0,"4735,86",0,ITAQUERA
35991,M,33,Privada,5575,"788,09",0,0,4564,1,CAMPO LIMPO
36010,F,29,Privada,"7466,2","711,81","15880,68",12722,0,0,SE
36038,F,31,Pública,"3643,5","485,68",0,0,456,0,PARELHEIROS
36072,M,32,Privada,"7390,5","1263,5",0,0,"2956,99",0,IPIRANGA
36642,M,33,Privada,5914,"1166,17",0,0,"2470,87",1,ERMELINO MATARAZZO
37105,M,32,Pública,"4259,2","838,75",0,0,2474,0,CIDADE TIRADENTES
37113,M,38,Privada,7835,"1055,32",0,0,"2121,66",1,CASA VERDE-CACHOEIRINHA
37337,F,34,Privada,6369,"827,52",0,0,0,0,SANTO AMARO
37468,F,32,Privada,5444,"813,41","16491,79","9362,77",0,0,ERMELINO MATARAZZO
37588,M,45,Privada,17139,"1080,14","17173,34","11328,52",0,0,PINHEIROS
37629,F,32,Privada,5394,"618,97",0,0,"2176,91",1,VILA MARIA-VILA GUILHERME
37772,M,32,Pública,"6250,8","456,33",0,0,"2220,87",0,BUTANTA
37857,M,32,Privada,"3977,4","636,24",0,0,0,0,SAO MATEUS
38020,M,32,Pública,"3763,9","645,22",0,0,0,0,SAO MIGUEL
38041,M,34,Pública,4060,"1014,74",0,0,"4649,12",0,SAO MATEUS
38120,F,30,Privada,5286,"891,78","15771,9","8608,48",0,0,SANTANA-TUCURUVI
38275,F,30,Privada,"6317,5","-137,85",0,0,"1025,63",1,MOOCA
38536,M,28,Pública,"4258,4","874,17",0,0,4237,1,CIDADE ADEMAR
38844,M,30,Privada,"4730,4","786,46",0,0,"4051,63",1,CIDADE TIRADENTES
38973,F,32,Privada,"4416,8","-37,72",0,0,4854,1,CIDADE ADEMAR
39049,F,35,Privada,"4072,6","776,96",0,0,3177,0,CAPELA DO SOCORRO
39137,M,35,Privada,6071,"1270,46",0,0,"4158,85",1,ITAIM PAULISTA
39491,M,35,Privada,"4215,4","728,04",0,0,"761,35",0,ITAQUERA
39524,F,30,Pública,4997,"795,99",0,0,0,0,CAMPO LIMPO
39525,F,30,Privada,"3531,5","935,39",0,0,353,0,PARELHEIROS
39566,M,31,Privada,"3615,95","1048,99",0,0,"2,740,777",0,M'BOI MIRIM
39583,F,30,Autônomo,5062,"807,5",0,0,4356,1,CAMPO LIMPO
39764,F,35,Privada,"3791,9","-667,3",0,0,3487,1,SAO MATEUS
39936,M,35,Privada,5823,"1118,13",0,0,"2305,69",1,FREGUESIA-BRASILANDIA
40426,F,29,Pública,5020,"748,1",0,0,"2644,45",0,VILA MARIA-VILA GUILHERME
41507,F,29,Privada,"6949,8","762,26",0,0,"1698,37",0,IPIRANGA
41531,M,32,Autônomo,"5975,2","-1149,61",0,0,"1784,76",1,LAPA
41826,M,39,Autônomo,5376,"1231,55",0,0,"2816,92",1,JACANA-TREMEMBE
41978,M,33,Pública,"6488,4","928,4",0,0,386,0,BUTANTA
42112,M,31,Pública,"4364,8","990,95",0,0,"4274,42",0,CIDADE ADEMAR
42489,F,29,Pública,"3385,85","672,69",0,0,"2,823,405",0,M'BOI MIRIM
42732,M,29,Pública,"6681,25","1080,1","16183,62","10242,06",0,0,MOOCA
43094,M,32,Privada,"6991,25","1106,83",0,0,"2645,11",0,CASA VERDE-CACHOEIRINHA
43313,F,33,Privada,"3882,9","994,72",0,0,1288,0,ITAQUERA
43524,M,29,Pública,"3661,7","390,48",0,0,537,0,CAPELA DO SOCORRO
43567,F,33,Autônomo,"5957,5","350,03","14143,06","9245,37",0,0,MOOCA
43831,M,31,Privada,"3952,9","187,54",0,0,"3984,34",1,ITAQUERA
43993,F,28,Privada,6916,"458,69",0,0,388,0,VILA MARIANA
43997,M,32,Pública,5444,"-253,64",0,0,"3327,24",1,SAPOPEMBA
44055,M,35,Privada,"6322,8","1020,63",0,0,"1709,3",0,LAPA
44785,F,37,Privada,"8035,3","1527,82",0,0,"1660,78",0,IPIRANGA
44804,F,32,Privada,"3945,2","876,72",0,0,2277,0,ITAQUERA
44825,F,32,Privada,5882,"967,34",0,0,464,0,SAPOPEMBA
44870,M,34,Pública,"6696,25","818,62",0,0,0,0,MOOCA
45342,F,26,Autônomo,4582,"-88,29","13975,72","8428,6",0,0,SANTANA-TUCURUVI
45686,F,27,Pública,"6550,7","947,83","15250,55","11509,49",0,0,IPIRANGA
45701,M,30,Autônomo,"6784,7","-59,43",0,0,"1954,78",1,IPIRANGA
45745,M,29,Pública,5240,"-448,97",0,0,"1896,42",1,VILA MARIA-VILA GUILHERME
45971,F,27,Autônomo,4888,"-82,96",0,0,376,0,ARICANDUVA-FORMOSA-CARRAO
45978,M,33,Privada,5715,"805,13",0,0,0,0,PIRITUBA-JARAGUA
46045,M,30,Autônomo,7742,"-76,4",0,0,0,0,VILA MARIANA
46163,F,30,Pública,5168,"1254,46",0,0,1277,0,FREGUESIA-BRASILANDIA
46909,M,33,Privada,"3965,5","-174,37",0,0,3597,1,CAPELA DO SOCORRO
46974,M,33,Privada,"7757,4","1020,61",0,0,"3664,74",0,VILA MARIANA
47146,F,31,Privada,"4424,8","915,68",0,0,325,0,CIDADE ADEMAR
47201,M,32,Pública,"6567,6","952,14",0,0,4356,1,BUTANTA
47692,F,38,Privada,"7986,25","1393,35",0,0,479,0,CASA VERDE-CACHOEIRINHA
47756,M,30,Pública,"3460,6","522,2",0,0,"365,56",0,M'BOI MIRIM
47925,F,31,Pública,"7614,6","-96,39",0,0,0,0,SE
47990,M,31,Privada,"4096,4","927,31",0,0,2476,0,CAPELA DO SOCORRO
48385,M,34,Privada,"4771,2","1071,48",0,0,0,0,JACANA-TREMEMBE
49897,F,33,Pública,5450,"1164,18",0,0,"2442,49",0,FREGUESIA-BRASILANDIA
50276,M,35,Privada,6330,"1250,48",0,0,"2777,19",0,FREGUESIA-BRASILANDIA
50349,M,32,Privada,"8001,6","1419,53",0,0,"1764,27",0,BUTANTA
50676,M,27,Autônomo,5048,"877,14",0,0,"1985,5",1,FREGUESIA-BRASILANDIA
50686,M,31,Pública,"4205,6","731,07",0,0,364,0,JACANA-TREMEMBE
50876,F,32,Pública,5414,"702,49",0,0,364,0,FREGUESIA-BRASILANDIA
51008,F,32,Pública,5464,"837,99",0,0,0,0,PERUS
51271,M,36,Privada,"7615,4","846,53",0,0,"1723,74",1,IPIRANGA
51301,M,36,Privada,7485,"1063,99",0,0,"2403,18",1,CASA VERDE-CACHOEIRINHA
51453,M,32,Privada,5760,"1002,12",0,0,"3320,26",1,ITAIM PAULISTA
51455,M,33,Pública,5322,"805,45",0,0,"3480,97",0,SAPOPEMBA
51838,F,29,Autônomo,4834,"745,26",0,0,"2321,88",1,PIRITUBA-JARAGUA
51909,F,29,Privada,"7550,2","862,05",0,0,"1180,24",1,SE
51984,F,30,Privada,"5738,7","594,14",0,0,"1090,16",0,VILA PRUDENTE
52005,M,37,Privada,"4880,8","776,76",0,0,"4033,25",1,CIDADE ADEMAR
52318,F,28,Autônomo,4991,614,0,0,536,0,CAMPO LIMPO
52442,F,33,Privada,"4217,6","-109,55",0,0,"2940,15",1,CIDADE TIRADENTES
52502,F,33,Privada,8554,"772,58",0,0,379,0,BUTANTA
53554,M,33,Privada,5748,"1198,55",0,0,"422,03",0,ITAIM PAULISTA
53679,M,33,Privada,"3956,4","1093,8",0,0,0,0,CAPELA DO SOCORRO
53786,F,34,Privada,5670,"-27,03",0,0,3292,1,SAPOPEMBA
53889,F,30,Pública,5207,"-16,62",0,0,284,0,ITAIM PAULISTA
53966,M,34,Privada,"7568,75","1491,34",0,0,"2531,44",0,CASA VERDE-CACHOEIRINHA
54008,F,28,Pública,3992,"587,92",0,0,813,0,JACANA-TREMEMBE
54271,F,31,Privada,"3531,5","-310,27",0,0,"3947,9",1,CAPELA DO SOCORRO
54300,F,33,Privada,"7274,8","646,22",0,0,"1734,44",0,IPIRANGA
54445,M,33,Privada,"3610,75","988,27",0,0,"31,146,765",0,M'BOI MIRIM
54489,M,29,Pública,7329,"713,33",0,0,258,0,SE
54534,F,35,Privada,"8444,8","1181,85",0,0,"1480,02",0,SE
54535,F,31,Pública,7518,"892,19",0,0,54,0,SE
54608,M,35,Privada,6053,"848,12",0,0,"1799,53",0,ARICANDUVA-FORMOSA-CARRAO
54851,F,33,Privada,5384,"-78,83",0,0,"2744,35",1,PENHA
54979,M,37,Privada,5914,"1009,69",0,0,"5906,76",0,PERUS
54994,F,29,Autônomo,"5910,3","389,18",0,0,"1273,77",1,VILA PRUDENTE
55002,F,30,Privada,7049,"-362,34",0,0,"1699,97",1,SE
55012,M,35,Privada,"3901,1","489,04",0,0,"395,3",1,ITAQUERA
55499,M,33,Privada,5689,"1054,51",0,0,"2126,42",0,VILA MARIA-VILA GUILHERME
55613,F,33,Privada,5094,"-45,09",0,0,1209,0,CAMPO LIMPO
55645,M,37,Privada,"4307,1","1423,73",0,0,0,0,SAO MIGUEL
55704,M,33,Privada,5930,"972,25",0,0,"3909,79",0,CAMPO LIMPO
55845,F,29,Pública,"6501,25","678,85",0,0,"1107,74",0,MOOCA
56435,M,30,Privada,"3901,8","-17,41",0,0,"4942,28",1,SAO MATEUS
56790,F,32,Privada,"4121,6","-60,62",0,0,3577,1,SAO MIGUEL
56939,M,37,Pública,"8097,6","1159,28",0,0,0,0,VILA MARIANA
57135,F,29,Privada,"5661,7","912,55",0,0,"1308,67",0,LAPA
57193,F,31,Privada,5196,"871,7",0,0,"3145,74",0,PIRITUBA-JARAGUA
57462,F,26,Autônomo,"5821,25","410,55",0,0,"197,48",0,CASA VERDE-CACHOEIRINHA
57574,F,31,Privada,3759,"686,56",0,0,0,0,PARELHEIROS
57652,M,34,Privada,"6557,1","1191,65","18220,25","14153,51",0,0,SANTO AMARO
57730,F,29,Privada,"5501,1","620,96",0,0,"782,02",0,LAPA
57803,F,29,Privada,4996,"666,57",0,0,"2975,2",0,CAMPO LIMPO
58096,F,32,Privada,"3616,9","1072,25",0,0,"3854,23",0,ITAQUERA
58184,F,36,Privada,"4133,5","-323,19",0,0,"4264,67",1,ITAQUERA
58327,F,33,Privada,6840,"741,4",0,0,3757,1,BUTANTA
58488,F,28,Pública,"7107,8","634,93",0,0,"1651,23",1,SE
58631,F,37,Pública,5713,"910,37",0,0,"3155,81",1,CAMPO LIMPO
58675,M,31,Privada,"7263,1","611,85",0,0,237,0,IPIRANGA
58883,M,31,Privada,"3980,2","616,77",0,0,3466,1,SAO MIGUEL
59270,F,31,Privada,5632,"886,64",0,0,"2221,72",0,PENHA
59463,M,32,Privada,5713,"-44,42",0,0,0,1,PINHEIROS
59585,M,31,Privada,5527,"488,39",0,0,0,0,PENHA
60000,M,34,Pública,"3851,4","1061,96",0,0,"899,27",0,SAO MIGUEL
60046,F,34,Privada,8043,"941,6",0,0,0,0,SE
60357,F,27,Autônomo,"5676,25","68,79",0,0,"2750,53",0,CASA VERDE-CACHOEIRINHA
60388,F,33,Privada,5239,"412,34",0,0,"3587,04",0,SAPOPEMBA
60523,F,27,Pública,"6039,6","531,89",0,0,0,0,BUTANTA
60605,F,36,Privada,"4785,6","760,84",0,0,2947,0,CIDADE ADEMAR
60863,M,34,Privada,"6613,2","924,86",0,0,"2574,08",1,SANTO AMARO
61049,F,32,Pública,7448,"758,07",0,0,"1730,46",0,SE
61123,M,34,Privada,"7781,2",1061,"16703,2","16227,6",0,0,VILA MARIANA
61319,M,37,Privada,5887,"-85,49",0,0,"2102,73",1,VILA MARIA-VILA GUILHERME
61474,F,28,Privada,4988,"-83,26",0,0,"1128,28",0,ARICANDUVA-FORMOSA-CARRAO
61616,F,30,Autônomo,"4367,2","731,65",0,0,375,0,CIDADE ADEMAR
62023,M,35,Privada,5582,"957,16",0,0,"2012,9",0,VILA MARIA-VILA GUILHERME
62054,M,35,Privada,11426,"1357,91","17573,85","11309,46",0,0,PINHEIROS
62090,M,35,Privada,"3870,75","1006,97",0,0,"3,735,875",1,M'BOI MIRIM
62264,F,32,Privada,5462,"937,46",0,0,"1862,07",1,ARICANDUVA-FORMOSA-CARRAO
62540,M,37,Privada,"4325,1","1016,4",0,0,345,0,M'BOI MIRIM
62583,M,35,Privada,8659,"967,51",0,0,"2619,85",1,VILA MARIANA
62985,M,32,Pública,"3931,9","1065,8",0,0,0,0,SAO MIGUEL
63125,M,41,Privada,"4458,35","1168,78",0,0,464,0,M'BOI MIRIM
63421,M,28,Pública,5338,"953,3",0,0,3081,0,PIRITUBA-JARAGUA
63470,F,29,Pública,5161,"569,13",0,0,0,0,PIRITUBA-JARAGUA
63482,M,39,Privada,13023,"541,18","17559,49","14715,05",0,0,PINHEIROS
63746,M,33,Privada,5829,"1125,84",0,0,"2904,89",1,PIRITUBA-JARAGUA
63911,M,33,Privada,4736,"881,43",0,0,0,0,CIDADE TIRADENTES
63957,M,32,Privada,"4405,6","1015,93",0,0,"4334,01",1,GUAIANASES
64299,F,26,Autônomo,"3291,4","-718,28",0,0,"2313,05",1,SAO MATEUS
64396,M,31,Pública,5260,"912,59",0,0,0,0,CAMPO LIMPO
64600,M,37,Privada,"6625,3","957,6",0,0,"1213,19",0,LAPA
